Event, mu_E, mu_Px, mu_Py, mu_Pz, B1_E, B1_Px, B1_Py, B1_Pz, B2_E, B2_Px, B2_Py, B2_Pz, J1_E, J1_Px, J1_Py, J1_Pz, J2_E, J2_Px, J2_Py, J2_Pz, J3_E, J3_Px, J3_Py, J3_Pz
341, 212199, 59897.6, -12696.5, 203174, 307694, -74632.7, 73910.3, 288911, 70176.8, 14477.1, 60222.2, 31579.6, 309240, -35634.1, 74172.6, -297980, 73632, 24772.2, -54279.7, 43041.4, 274432, -41138.1, -39841.7, 268294
343, 146828, -61120.9, 73585.9, -111390, 211857, 95807.8, -121120, -144193, 86400.9, 1766.86, 37152.8, -77803.3, 125963, -44160.2, -11946.8, 117203, 96494.8, 28076.7, 32565.3, -85914.6, 63971.2, -6970.7, -29303.2, -56168.8
347, 37790.3, 5825.95, 36572.8, -7522.4, 292481, -121017, -116500, 238860, 50951.7, -47131.9, 2196.85, 18031.8, 308525, 116783, -199881, -202822, 267620, -34833.9, 121137, 235859, 280887, 13005, 68987.3, 271850
383, 66935.3, -43017.8, -49621.7, -12941.3, 159798, -14967.4, 57801.6, -148030, 42375.2, 29456.2, 27377.9, 11066.1, 267037, 133912, -26045.5, 229196, 144295, 46175.8, -16551.7, -135643, 87076.3, -38292.4, -29890.4, -72039.7
406, 92577.9, 80452.4, 45584.7, -4483.86, 48892.5, -34073.4, -28423.7, 19067.6, 106968, 26674.8, 18894.3, 101682, 201868, -78383.6, 86590.1, 163866, 242228, -23532.9, 65810.6, 231725, 54822.6, 7775.07, -51548.9, -14949
409, 55610.8, -4195.67, -51143.8, 21430.2, 182256, -83420.9, -109786, 118713, 462022, 111617, -31480.1, -447153, 182113, -10955.4, 128542, 128289, 176672, -63774.3, 28204.9, 162144, 66315.4, 17108.3, 18740.3, 61099.6
439, 59260.7, 16255.3, 38605.1, 41919.3, 105968, -95485.4, 20344.1, 40687.6, 103229, 62902.7, 9325.26, 81136.1, 348931, 76950.2, -39380.1, -337910, 115304, -9365.82, -79898.6, 82038.7, 28498.2, 13652.9, 24170, 1535.54
462, 116502, -20031.7, -36601.6, 108774, 166822, 62218.5, 47089.2, 147164, 80343.9, -29503.7, 48533.6, 55860.6, 94745.8, 9488.87, -62260.5, 70486.3, 34110.6, 4609.71, -25471.7, -21972.3, 34620.4, 24277.6, 7956.16, 22811.1
463, 66619.3, -46692, 17288.8, 44261.4, 84047.1, -33143.1, -50809.2, -57463.9, 58501.5, 19263.5, 30804.7, -45642.8, 54492.6, 51343.8, -14823.1, -8864.89, 46741.7, -3269.15, 35055.2, -29534.2, 35460.8, -30485.5, 16968.9, -3233.65
467, 367276, 160116, 53317.1, -326208, 137038, -71193.1, 3164.88, -116743, 46917.9, 23555.8, 38804, -10065.3, 103754, -101159, 9074.77, -17993.2, 86255, -60965, -57875.2, -17324.1, 57998, 29453.3, -22084.5, 43947.4
477, 43799.3, 11758.8, -30175.2, 29488.2, 84670.5, -34807.3, 73463.9, -20512.9, 238364, -22508, 73390.2, -225411, 79548.7, 5306.48, -43903.4, -65770.6, 42492.1, 41027.2, -2775.05, -5959.53, 80476.1, 35131.6, -18515.8, -69823.9
516, 191935, -44520.6, -17883, 185842, 214400, -7453.09, -154138, 148062, 76310.8, -65327.5, 22768.6, -31659, 190836, 105577, 91060.2, -127449, 278884, -76188.1, 46290.2, 264009, 89102, 34270.4, 51090.6, 64163.4
524, 163429, -2103.84, 84407, -139929, 204205, 1857.78, 73828.5, 190172, 87928.2, -16207.3, -52888.7, -67975.1, 228880, 25518.2, -50987.7, -221581, 49576, 41598.3, 12668.1, -22812.3, 78671, 16782.6, -26913.9, -71855.6
542, 100050, -41310.6, -29275, -86292, 141135, -36975.3, 61852, -120841, 47078.7, -17257.8, -32752.1, -28494.1, 133174, 83203.4, 21556, -101617, 67600.8, 60488, -13029.7, -26307.3, 74883.3, 10366, 57566.9, -46233.7
553, 258241, -54564, 7558.03, 252298, 203173, 16816.9, -70659.2, 189542, 47136.5, 32038.7, -29581.6, 14967, 170534, -100850, 43092.1, 130101, 264097, 75175.6, -43458, 249289, 109747, -25485.8, 82469.2, 66708.2
559, 37525.1, -31554, 17679.4, -9995.34, 703643, 71819.5, -176150, -676276, 93447.4, -47760.1, -7697.66, -79552.1, 60193.5, 25313.7, -44838.8, -29519.2, 116489, -12498.4, 47210.7, 105492, 131098, -33377.3, -5509.35, -126490
572, 182141, 12104.2, -45765.5, -175881, 280060, -36670.3, 73834.3, -267635, 68367.2, -42865.1, 28052, 43947.2, 142172, 49827.3, 101132, -84222, 267082, -13146.2, -109039, -242795, 188394, 46641.4, 34265.3, -179217
575, 113455, 33033, 75843.8, -77643.2, 50220.8, 44238, -9025.99, -20528, 54942.5, 32875.4, -17279.4, 39924, 54291.9, -50667.7, 16367.5, -3802.66, 47929.4, -41860.2, -20657.4, 6416.05, 43241.6, -30513.4, -27576.7, -11219.6
589, 73949.7, 70465.4, -11423.8, -19304.4, 162892, 66966.9, -86970.6, -118842, 156623, -55366.1, 46005, 138512, 79774.1, 31751.5, 51893, -50589, 81739.4, -55056.4, 14610.7, 57663.6, 53233.1, -24771.8, -41343, 21709.6
